ShipToCustID,ShipToCompany,ShipToContact,ShipToAddress1,ShipToAddress2,ShipToCity,ShipToState,ShipToCountry,ShipToZipCode,ShipToTel,BoxCount,Weight,Length,Width,Height,OrderNum,PONumber,Invoice,MultiIdentical,MultiWeight,MultiLength,MultiWidth,MultiHeight,TP_Account,TP_Bill_Type,ServiceType,PackagingType
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa4801,SAM'S CLUB # 4801,ATTN: HOT CASE,10385 BIG BEND ROAD,,RIVERVIEW,FL,US,33578,813-371-2394,1,1,11,9,6,136300,4107603906,1141447,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,4,24,9,7,136299,4107603442,1141446,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
sa6425,SAM'S CLUB # 6425,ATTN: HOT CASE,4600 EAST SECOND ST,,CASPER,WY,US,82609,307-237-8877,1,1,10,6,4,136298,4107603369,1141445,NO,?|?,?|?,?|?,?|?,341444179,3,92,1
